id,observed_on,species_common,species_scientific,latitude,longitude,place_guess,quality_grade,native,introduced,threatened
339529603,2026-02-20,Tansy Mustard Sweat Bee,Lasioglossum sisymbrii,32.9418494512,-117.251255959,"Del Mar Heights, San Diego, CA 92014, USA",research,True,False,False
339525500,2026-02-09,Western Carpenter Bee,Xylocopa californica,33.9702171841,-117.325659079,"University, Riverside, CA 92507, USA",research,True,False,False
339525498,2026-02-09,Yellow-faced Bumble Bee,Bombus vosnesenskii,33.9695806386,-117.326169266,"University, Riverside, CA 92507, USA",research,True,False,False
339521246,2026-02-18,Western Honey Bee,Apis mellifera,33.8983472222,-117.507275,"Corona, CA, USA",research,False,True,False
339517915,2026-02-20,Western Honey Bee,Apis mellifera,33.7090654,-116.4003927,"Palm Desert, CA, USA",research,False,True,False
339517016,2026-02-20,Black-tailed Bumble Bee,Bombus melanopygus,32.897625,-117.070022167,"San Diego, CA, US",research,True,False,False
339517011,2026-02-20,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.8978616667,-117.070647167,"San Diego, CA, US",research,True,False,False
339517008,2026-02-20,Yellow-faced Bumble Bee,Bombus vosnesenskii,32.89803,-117.070847167,"San Diego, CA, US",research,True,False,False
339515366,2026-02-01,Western Honey Bee,Apis mellifera,33.95504,-117.7031562,"Chino Hills State Park, 4721 Sapphire Rd, Chino Hills, CA 91709, USA",research,False,True,False
339509459,2016-10-22,Urbane Digger Bee,Anthophora urbana,33.9309316667,-118.411261667,"El Segundo, CA, USA",research,True,False,False
339508068,2026-02-20,Western Honey Bee,Apis mellifera,33.4639133333,-117.712975,"Dana Strand Rd, Dana Point, CA, US",research,False,True,False
339502149,2026-02-08,Valley Carpenter Bee,Xylocopa sonorina,33.8235819324,-117.818246204,"California, US",research,True,False,False
339502020,2026-02-18,Black-tailed Bumble Bee,Bombus melanopygus,33.5312120631,-117.709940692,"Crown Valley Pkwy, Laguna Niguel, CA, US",research,True,False,False
339501479,2026-02-20,California Digger Bee,Anthophora californica,33.9519941608,-117.264005427,Cattail Ln,research,True,False,False
339501478,2026-02-20,California Digger Bee,Anthophora californica,33.9519941608,-117.264005427,Cattail Ln,research,True,False,False
339497746,2026-02-20,Western Honey Bee,Apis mellifera,34.3859537597,-118.538042695,"Newhall Ave, Santa Clarita, CA, US",research,False,True,False
339497169,2026-02-20,Western Honey Bee,Apis mellifera,32.8108027778,-116.160375,"San Diego County, CA, USA",research,False,True,False
339495435,2026-02-20,Western Honey Bee,Apis mellifera,34.0259583333,-117.572425,"Foxglen Loop, Ontario, CA, US",research,False,True,False
339494568,2026-02-20,Valley Carpenter Bee,Xylocopa sonorina,33.839225,-118.195808333,"Rancho Los Cerritos Historic Site, Long Beach, CA, US",research,True,False,False
339493765,2026-02-20,Davidson's Longhorn Bee,Tetraloniella davidsoni,32.8296916667,-117.076325,"Mission Trails Regional Park, San Diego, CA, US",research,False,False,False
339493463,2026-02-20,Black-tailed Bumble Bee,Bombus melanopygus,32.83508,-117.075011167,"Mission Trails Regional Park, San Diego, CA, US",research,True,False,False
339487686,2026-02-20,Western Honey Bee,Apis mellifera,34.142425,-118.115913833,"S Bonnie Ave, Pasadena, CA, US",research,False,True,False
339481936,2026-02-20,Western Honey Bee,Apis mellifera,33.9678483333,-118.225293333,"Pacific / Broadway, Walnut Park, CA 90255, USA",research,False,True,False
339479172,2026-02-20,Yellow-faced Bumble Bee,Bombus vosnesenskii,33.152625,-117.202246667,"San Diego County, US-CA, US",research,True,False,False
339477967,2026-02-20,Sonoran Bumble Bee,Bombus sonorus,33.897305,-118.17337,"Salud park, Paramount, CA, US",research,True,False,True
339476914,2026-02-20,Western Honey Bee,Apis mellifera,32.7549063,-117.1976407,"Old Town San Diego St Hist Pk, San Diego Avenue and, Twiggs St, San Diego, CA 92110, USA",research,False,True,False
339472290,2026-02-20,Western Honey Bee,Apis mellifera,34.0173388889,-118.469683333,"Pico Blvd & 18th St, Santa Monica, CA 90405, USA",research,False,True,False
339468009,2026-02-20,Western Honey Bee,Apis mellifera,32.7435583333,-117.067083333,"Streamview Dr & 5955, San Diego, CA 92105, USA",research,False,True,False
339464889,2026-02-20,Black-tailed Bumble Bee,Bombus melanopygus,34.2380466667,-118.359003333,"Tuxford St, Los Angeles, CA, US",research,True,False,False
